1,gamma,200.0,16.0,22.0,200.9,3.0,16.2970297029703
1,beta,100.0,15.0,25.0,101.5,3.0,15.297029702970296
1,alfa,100.0,25.0,18.0,101.05,-3.0,24.7029702970297
2,alfa,100.0,25.0,18.0,102.05544554455446,-3.0,24.408881482207622
2,beta,100.0,15.0,25.0,102.95544554455445,3.0,15.59111851779237
2,gamma,200.0,16.0,22.0,201.75544554455445,3.0,16.591118517792378
3,alfa,100.0,25.0,18.0,103.0167777668856,-3.0,24.117704437829328
3,gamma,200.0,16.0,22.0,202.5667777668856,3.0,16.882295562170672
3,beta,100.0,15.0,25.0,104.36677776688559,3.0,15.882295562170663
4,alfa,100.0,25.0,18.0,103.93443343256,-3.0,23.829410334484482
4,beta,100.0,15.0,25.0,105.73443343256,3.0,16.170589665515507
4,gamma,200.0,16.0,22.0,203.33443343256,3.0,17.170589665515518
5,beta,100.0,15.0,25.0,107.05884498273267,3.0,16.45602937179753
5,alfa,100.0,25.0,18.0,104.80884498273267,-3.0,23.543970628202455
5,gamma,200.0,16.0,22.0,204.05884498273267,3.0,17.456029371797545
6,alfa,100.0,25.0,18.0,105.64044057696303,-3.0,23.261357057626192
6,beta,100.0,15.0,25.0,108.34044057696303,3.0,16.73864294237379
6,gamma,200.0,16.0,22.0,204.74044057696304,3.0,17.738642942373808
7,alfa,100.0,25.0,18.0,106.42964413560696,-3.0,22.98154164121405
7,gamma,200.0,16.0,22.0,205.37964413560698,3.0,18.01845835878595
7,beta,100.0,15.0,25.0,109.57964413560697,3.0,17.01845835878593
8,alfa,100.0,25.0,18.0,107.17687538178907,-3.0,22.704496674469357
8,beta,100.0,15.0,25.0,110.77687538178908,3.0,17.295503325530625
8,gamma,200.0,16.0,22.0,205.97687538178909,3.0,18.295503325530643
9,alfa,100.0,25.0,18.0,107.88254988295948,-3.0,22.43019472719738
9,gamma,200.0,16.0,22.0,206.5325498829595,3.0,18.56980527280262
9,beta,100.0,15.0,25.0,111.93254988295949,3.0,17.569805272802597
10,alfa,100.0,25.0,18.0,108.54707909203908,-3.0,22.158608640789485
10,beta,100.0,15.0,25.0,113.0470790920391,3.0,17.84139135921049
10,gamma,200.0,16.0,22.0,207.0470790920391,3.0,18.841391359210515
11,alfa,100.0,25.0,18.0,109.17087038815751,-3.0,21.889711525534143
11,gamma,200.0,16.0,22.0,207.52087038815753,3.0,19.110288474465857
11,beta,100.0,15.0,25.0,114.12087038815753,3.0,18.110288474465833
12,beta,100.0,15.0,25.0,115.15432711698766,3.0,18.376523242045376
12,alfa,100.0,25.0,18.0,109.75432711698762,-3.0,21.623476757954595
12,gamma,200.0,16.0,22.0,207.95432711698766,2.8897115255341426,19.36560359110819
13,beta,100.0,15.0,25.0,116.14784863068085,3.0,18.640122021827104
13,alfa,100.0,25.0,18.0,110.29784863068082,-3.0,21.359877978172864
13,gamma,200.0,16.0,22.0,208.34948657832143,2.63439640889181,19.593112110888487
14,alfa,100.0,25.0,18.0,110.80183032740675,-3.0,21.098889087299867
14,beta,100.0,15.0,25.0,117.10183032740679,3.0,18.9011109127001
14,gamma,200.0,16.0,22.0,208.71051976168815,2.4068878891115126,19.795842475049145
15,alfa,100.0,25.0,18.0,111.26666369050173,-3.0,20.840484244851353
15,beta,100.0,15.0,25.0,118.01666369050177,3.0,19.159515755148615
15,gamma,200.0,16.0,22.0,209.04114339043076,2.2041575249508547,19.97649329459825
16,alfa,100.0,25.0,18.0,111.69273632722943,-2.8404842448513534,20.600431505313086
16,beta,100.0,15.0,25.0,118.89273632722949,3.0,19.415362133810508
16,gamma,200.0,16.0,22.0,209.34466939624102,2.0235067054017506,20.13746927241428
17,alfa,100.0,25.0,18.0,112.08280105302639,-2.600431505313086,20.38652312354631
17,gamma,200.0,16.0,22.0,209.62404900537888,1.862530727585721,20.280913213042425
17,beta,100.0,15.0,25.0,119.73043200715792,3.0,19.668675380010402
18,alfa,100.0,25.0,18.0,112.44077952155834,-2.3865231235463114,20.195911694249187
18,beta,100.0,15.0,25.0,120.53013070015635,3.0,19.919480574267723
18,gamma,200.0,16.0,22.0,209.8819120234225,1.7190867869575754,20.40873454627543
19,alfa,100.0,25.0,18.0,112.77016627569571,-2.1959116942491868,20.026059925568582
19,beta,100.0,15.0,25.0,121.29220861401619,3.0,20.167802548779925
19,gamma,200.0,16.0,22.0,210.12060184148118,1.5912654537245707,20.522634744205828
20,alfa,100.0,25.0,18.0,113.074075264531,-2.026059925568582,19.874706864368044
20,beta,100.0,15.0,25.0,122.0170382316992,3.0,20.413665889881113
20,gamma,200.0,16.0,22.0,210.3422066298503,1.4773652557941723,20.6241299700844
21,alfa,100.0,25.0,18.0,113.35528129418621,-1.8747068643680436,19.73983779993192
21,gamma,200.0,16.0,22.0,210.54858713433762,1.3758700299155997,20.714571260471246
21,beta,100.0,15.0,25.0,122.70498834821704,3.0,20.657094940476348
22,alfa,100.0,25.0,18.0,113.616256964176,-1.7398377999319194,19.619657445483888
22,beta,100.0,15.0,25.0,123.35642410714559,3.0,20.898113802451828
22,gamma,200.0,16.0,22.0,210.74140144526694,1.2854287395287542,20.79516250933081
23,beta,100.0,15.0,25.0,123.97170703677781,3.0,21.136746339061215
23,alfa,100.0,25.0,18.0,113.85920558099859,-1.6196574454838881,19.512566040530196
23,gamma,200.0,16.0,22.0,210.92212706886733,1.2048374906691883,20.8669764934631
24,alfa,100.0,25.0,18.0,114.08609048707812,-1.5125660405301957,19.417138055917995
24,gamma,200.0,16.0,22.0,211.09208059484786,1.133023506536901,20.93096915259088
24,beta,100.0,15.0,25.0,124.55119508591864,3.0,21.37301617728833
25,alfa,100.0,25.0,18.0,114.29866119546583,-1.4171380559179951,19.33210321814475
25,beta,100.0,15.0,25.0,125.09524265932538,3.0,21.606946710186467
25,gamma,200.0,16.0,22.0,211.25243522195922,1.0690308474091204,20.987992314189892
26,alfa,100.0,25.0,18.0,114.49847667818754,-1.3321032181447485,19.256329600327003
26,gamma,200.0,16.0,22.0,211.40423637483073,1.012007685810108,21.038805032446437
26,beta,100.0,15.0,25.0,125.6042006527974,3.0,21.83856109919452
27,beta,100.0,15.0,25.0,126.07841648791822,3.0,22.06788227643022
27,gamma,200.0,16.0,22.0,211.54841561996378,0.9611949675535634,21.084083692279002
27,alfa,100.0,25.0,18.0,114.6869261182366,-1.2563296003270032,19.188808554746835
28,alfa,100.0,25.0,18.0,114.86524740144863,-1.188808554746835,19.128641286408072
28,beta,100.0,15.0,25.0,126.51823414645368,2.9321177235697817,22.288211929492274
28,gamma,200.0,16.0,22.0,211.68580306612193,0.9159163077209982,21.12443101292188
29,alfa,100.0,25.0,18.0,115.03454359440984,-1.1286412864080724,19.07502688887848
29,beta,100.0,15.0,25.0,126.92500235702984,2.711788070507726,22.484545283705987
29,gamma,200.0,16.0,22.0,211.81713841418366,0.8755689870781183,21.16038407092049
30,alfa,100.0,25.0,18.0,115.19579762774161,-1.0750268888784795,19.02725168315904
30,beta,100.0,15.0,25.0,127.30232056447394,2.5154547162940126,22.65949579736177
30,gamma,200.0,16.0,22.0,211.9430808035456,0.8396159290795104,21.19242144933509
31,alfa,100.0,25.0,18.0,115.34988538021547,-1.0272516831590401,18.984679717666474
31,gamma,200.0,16.0,22.0,212.06421758614533,0.8075785506649105,21.220969608318395
31,beta,100.0,15.0,25.0,127.65339619486969,2.340504202638229,22.815392294678805
32,alfa,100.0,25.0,18.0,115.49758733786544,-0.9846797176664737,18.946744302871114
32,beta,100.0,15.0,25.0,127.98108735066786,2.184607705321195,22.95430996555537
32,gamma,200.0,16.0,22.0,212.18107214489757,0.779030391681605,21.246408561867877
33,alfa,100.0,25.0,18.0,115.63959898329611,-0.9467443028711138,18.912940467904953
